Date,w_0,w_1,w_2,w_3,w_4,w_5,w_6,w_7,w_8,w_9,w_10,w_11,w_12,w_13,w_14,w_15,w_16,w_17,w_18,w_19,w_20,w_21,w_22,w_23,w_24,w_25,w_26,w_27,w_28,w_29
2022-08-05,0.014191182,0.044249523,0.06350148,0.031152392,0.03695188,0.02496382,0.03425446,0.011975498,0.017040338,0.08098223,0.08733462,0.014709916,0.013656995,0.01993961,0.010839595,0.011243712,0.013454659,0.046810508,0.020821286,0.054976672,0.013141879,0.029088398,0.012008192,0.03983465,0.12640531,0.07788066,0.011246617,0.011535482,0.013381419,0.012427112
2022-08-08,0.014191182,0.044249523,0.06350148,0.031152392,0.03695188,0.02496382,0.03425446,0.011975498,0.017040338,0.08098223,0.08733462,0.014709916,0.013656995,0.01993961,0.010839595,0.011243712,0.013454659,0.046810508,0.020821286,0.054976672,0.013141879,0.029088398,0.012008192,0.03983465,0.12640531,0.07788066,0.011246617,0.011535482,0.013381419,0.012427112
2022-08-09,0.014191182,0.044249523,0.06350148,0.031152392,0.03695188,0.02496382,0.03425446,0.011975498,0.017040338,0.08098223,0.08733462,0.014709916,0.013656995,0.01993961,0.010839595,0.011243712,0.013454659,0.046810508,0.020821286,0.054976672,0.013141879,0.029088398,0.012008192,0.03983465,0.12640531,0.07788066,0.011246617,0.011535482,0.013381419,0.012427112
2022-08-10,0.014191182,0.044249523,0.06350148,0.031152392,0.03695188,0.02496382,0.03425446,0.011975498,0.017040338,0.08098223,0.08733462,0.014709916,0.013656995,0.01993961,0.010839595,0.011243712,0.013454659,0.046810508,0.020821286,0.054976672,0.013141879,0.029088398,0.012008192,0.03983465,0.12640531,0.07788066,0.011246617,0.011535482,0.013381419,0.012427112
2022-08-11,0.014191182,0.044249523,0.06350148,0.031152392,0.03695188,0.02496382,0.03425446,0.011975498,0.017040338,0.08098223,0.08733462,0.014709916,0.013656995,0.01993961,0.010839595,0.011243712,0.013454659,0.046810508,0.020821286,0.054976672,0.013141879,0.029088398,0.012008192,0.03983465,0.12640531,0.07788066,0.011246617,0.011535482,0.013381419,0.012427112
2022-08-12,0.014191182,0.044249523,0.06350148,0.031152392,0.03695188,0.02496382,0.03425446,0.011975498,0.017040338,0.08098223,0.08733462,0.014709916,0.013656995,0.01993961,0.010839595,0.011243712,0.013454659,0.046810508,0.020821286,0.054976672,0.013141879,0.029088398,0.012008192,0.03983465,0.12640531,0.07788066,0.011246617,0.011535482,0.013381419,0.012427112
2022-08-15,0.014191182,0.044249523,0.06350148,0.031152392,0.03695188,0.02496382,0.03425446,0.011975498,0.017040338,0.08098223,0.08733462,0.014709916,0.013656995,0.01993961,0.010839595,0.011243712,0.013454659,0.046810508,0.020821286,0.054976672,0.013141879,0.029088398,0.012008192,0.03983465,0.12640531,0.07788066,0.011246617,0.011535482,0.013381419,0.012427112
2022-08-16,0.014191182,0.044249523,0.06350148,0.031152392,0.03695188,0.02496382,0.03425446,0.011975498,0.017040338,0.08098223,0.08733462,0.014709916,0.013656995,0.01993961,0.010839595,0.011243712,0.013454659,0.046810508,0.020821286,0.054976672,0.013141879,0.029088398,0.012008192,0.03983465,0.12640531,0.07788066,0.011246617,0.011535482,0.013381419,0.012427112
2022-08-17,0.014191182,0.044249523,0.06350148,0.031152392,0.03695188,0.02496382,0.03425446,0.011975498,0.017040338,0.08098223,0.08733462,0.014709916,0.013656995,0.01993961,0.010839595,0.011243712,0.013454659,0.046810508,0.020821286,0.054976672,0.013141879,0.029088398,0.012008192,0.03983465,0.12640531,0.07788066,0.011246617,0.011535482,0.013381419,0.012427112
2022-08-18,0.014191182,0.044249523,0.06350148,0.031152392,0.03695188,0.02496382,0.03425446,0.011975498,0.017040338,0.08098223,0.08733462,0.014709916,0.013656995,0.01993961,0.010839595,0.011243712,0.013454659,0.046810508,0.020821286,0.054976672,0.013141879,0.029088398,0.012008192,0.03983465,0.12640531,0.07788066,0.011246617,0.011535482,0.013381419,0.012427112
2022-08-19,0.014191182,0.044249523,0.06350148,0.031152392,0.03695188,0.02496382,0.03425446,0.011975498,0.017040338,0.08098223,0.08733462,0.014709916,0.013656995,0.01993961,0.010839595,0.011243712,0.013454659,0.046810508,0.020821286,0.054976672,0.013141879,0.029088398,0.012008192,0.03983465,0.12640531,0.07788066,0.011246617,0.011535482,0.013381419,0.012427112
2022-08-22,0.014191182,0.044249523,0.06350148,0.031152392,0.03695188,0.02496382,0.03425446,0.011975498,0.017040338,0.08098223,0.08733462,0.014709916,0.013656995,0.01993961,0.010839595,0.011243712,0.013454659,0.046810508,0.020821286,0.054976672,0.013141879,0.029088398,0.012008192,0.03983465,0.12640531,0.07788066,0.011246617,0.011535482,0.013381419,0.012427112
2022-08-23,0.014191182,0.044249523,0.06350148,0.031152392,0.03695188,0.02496382,0.03425446,0.011975498,0.017040338,0.08098223,0.08733462,0.014709916,0.013656995,0.01993961,0.010839595,0.011243712,0.013454659,0.046810508,0.020821286,0.054976672,0.013141879,0.029088398,0.012008192,0.03983465,0.12640531,0.07788066,0.011246617,0.011535482,0.013381419,0.012427112
